week,num_fac,total_ed_visits,visits,pct_visits,visit_type,region,source,year
40,3255,2146776,19503,0.009000000000000001,ili,National,Emergency Departments,2019
41,3249,2106999,20457,0.01,ili,National,Emergency Departments,2019
42,3256,2101358,22515,0.011000000000000001,ili,National,Emergency Departments,2019
43,3254,2122427,23776,0.011000000000000001,ili,National,Emergency Departments,2019
44,3295,2087335,25466,0.012,ili,National,Emergency Departments,2019
45,3315,2137854,29948,0.013999999999999999,ili,National,Emergency Departments,2019
46,3328,2122363,32425,0.015,ili,National,Emergency Departments,2019
47,3334,2209698,36073,0.016,ili,National,Emergency Departments,2019
48,3337,2097933,39613,0.019,ili,National,Emergency Departments,2019
49,3336,2224300,37569,0.017,ili,National,Emergency Departments,2019
50,3342,2240477,42485,0.019,ili,National,Emergency Departments,2019
51,3343,2225537,50914,0.023,ili,National,Emergency Departments,2019
52,3341,2332296,68616,0.028999999999999998,ili,National,Emergency Departments,2019
1,3352,2408019,57566,0.024,ili,National,Emergency Departments,2020
2,3355,2291586,42550,0.019,ili,National,Emergency Departments,2020
3,3358,2262316,44605,0.02,ili,National,Emergency Departments,2020
4,3374,2259759,49574,0.022000000000000002,ili,National,Emergency Departments,2020
5,3379,2352055,59657,0.025,ili,National,Emergency Departments,2020
6,3382,2340858,58961,0.025,ili,National,Emergency Departments,2020
7,3390,2274585,50814,0.022000000000000002,ili,National,Emergency Departments,2020
8,3388,2256684,45846,0.02,ili,National,Emergency Departments,2020
9,3394,2219732,41632,0.019,ili,National,Emergency Departments,2020
10,3403,2250329,49686,0.022000000000000002,ili,National,Emergency Departments,2020
11,3404,2235333,71219,0.032,ili,National,Emergency Departments,2020
12,3399,1794020,84208,0.047,ili,National,Emergency Departments,2020
13,3406,1438725,62139,0.043,ili,National,Emergency Departments,2020
14,3397,1245869,43457,0.035,ili,National,Emergency Departments,2020
40,3255,2146776,17639,0.008,cli,National,Emergency Departments,2019
41,3249,2106999,18693,0.009000000000000001,cli,National,Emergency Departments,2019
42,3256,2101358,20798,0.01,cli,National,Emergency Departments,2019
43,3254,2122427,21682,0.01,cli,National,Emergency Departments,2019
44,3295,2087335,22936,0.011000000000000001,cli,National,Emergency Departments,2019
45,3315,2137854,26708,0.012,cli,National,Emergency Departments,2019
46,3328,2122363,28570,0.013000000000000001,cli,National,Emergency Departments,2019
47,3334,2209698,31142,0.013999999999999999,cli,National,Emergency Departments,2019
48,3337,2097933,34353,0.016,cli,National,Emergency Departments,2019
49,3336,2224300,32847,0.015,cli,National,Emergency Departments,2019
50,3342,2240477,34824,0.016,cli,National,Emergency Departments,2019
51,3343,2225537,39550,0.018000000000000002,cli,National,Emergency Departments,2019
52,3341,2332296,51679,0.022000000000000002,cli,National,Emergency Departments,2019
1,3352,2408019,46491,0.019,cli,National,Emergency Departments,2020
2,3355,2291586,33703,0.015,cli,National,Emergency Departments,2020
3,3358,2262316,32874,0.015,cli,National,Emergency Departments,2020
4,3374,2259759,35862,0.016,cli,National,Emergency Departments,2020
5,3379,2352055,42505,0.018000000000000002,cli,National,Emergency Departments,2020
6,3382,2340858,41559,0.018000000000000002,cli,National,Emergency Departments,2020
7,3390,2274585,36932,0.016,cli,National,Emergency Departments,2020
8,3388,2256684,34182,0.015,cli,National,Emergency Departments,2020
9,3394,2219732,31438,0.013999999999999999,cli,National,Emergency Departments,2020
10,3403,2250329,38817,0.017,cli,National,Emergency Departments,2020
11,3404,2235333,62435,0.027999999999999997,cli,National,Emergency Departments,2020
12,3399,1794020,86088,0.048,cli,National,Emergency Departments,2020
13,3406,1438725,72058,0.05,cli,National,Emergency Departments,2020
14,3397,1245869,54531,0.044000000000000004,cli,National,Emergency Departments,2020
