week,num_fac,total_ed_visits,visits,pct_visits,visit_type,region,source,year
41,202,130377,814,0.006,ili,Region 1,Emergency Departments,2019
42,202,132385,912,0.006999999999999999,ili,Region 1,Emergency Departments,2019
43,202,131866,883,0.006999999999999999,ili,Region 1,Emergency Departments,2019
44,203,128256,888,0.006999999999999999,ili,Region 1,Emergency Departments,2019
45,203,127466,979,0.008,ili,Region 1,Emergency Departments,2019
46,202,125306,1188,0.009000000000000001,ili,Region 1,Emergency Departments,2019
47,202,128877,1235,0.01,ili,Region 1,Emergency Departments,2019
48,202,124781,1451,0.012,ili,Region 1,Emergency Departments,2019
49,202,125939,1362,0.011000000000000001,ili,Region 1,Emergency Departments,2019
50,202,130430,1405,0.011000000000000001,ili,Region 1,Emergency Departments,2019
51,202,126317,1704,0.013000000000000001,ili,Region 1,Emergency Departments,2019
52,202,136093,2483,0.018000000000000002,ili,Region 1,Emergency Departments,2019
1,202,144568,2567,0.018000000000000002,ili,Region 1,Emergency Departments,2020
2,202,140084,2189,0.016,ili,Region 1,Emergency Departments,2020
3,201,134746,2452,0.018000000000000002,ili,Region 1,Emergency Departments,2020
4,201,139698,2945,0.021,ili,Region 1,Emergency Departments,2020
5,201,146319,3496,0.024,ili,Region 1,Emergency Departments,2020
6,201,143951,3611,0.025,ili,Region 1,Emergency Departments,2020
7,201,138226,2843,0.021,ili,Region 1,Emergency Departments,2020
8,201,132269,2291,0.017,ili,Region 1,Emergency Departments,2020
9,201,133010,1912,0.013999999999999999,ili,Region 1,Emergency Departments,2020
10,198,129443,2297,0.018000000000000002,ili,Region 1,Emergency Departments,2020
11,198,123621,3318,0.027000000000000003,ili,Region 1,Emergency Departments,2020
12,198,91519,3595,0.039,ili,Region 1,Emergency Departments,2020
13,198,74647,2560,0.034,ili,Region 1,Emergency Departments,2020
14,197,66660,2086,0.031,ili,Region 1,Emergency Departments,2020
41,202,130377,794,0.006,cli,Region 1,Emergency Departments,2019
42,202,132385,857,0.006,cli,Region 1,Emergency Departments,2019
43,202,131866,875,0.006999999999999999,cli,Region 1,Emergency Departments,2019
44,203,128256,838,0.006999999999999999,cli,Region 1,Emergency Departments,2019
45,203,127466,997,0.008,cli,Region 1,Emergency Departments,2019
46,202,125306,1159,0.009000000000000001,cli,Region 1,Emergency Departments,2019
47,202,128877,1162,0.009000000000000001,cli,Region 1,Emergency Departments,2019
48,202,124781,1386,0.011000000000000001,cli,Region 1,Emergency Departments,2019
49,202,125939,1328,0.011000000000000001,cli,Region 1,Emergency Departments,2019
50,202,130430,1301,0.01,cli,Region 1,Emergency Departments,2019
51,202,126317,1442,0.011000000000000001,cli,Region 1,Emergency Departments,2019
52,202,136093,2066,0.015,cli,Region 1,Emergency Departments,2019
