country,placename,frequency,start_date,end_date,year,month,week,deaths,expected_deaths,excess_deaths,baseline
Austria,NA,weekly,2020-01-06,2020-01-12,2020,1,2,1702,1806,-104,2015-2019 historical data
Austria,NA,weekly,2020-01-13,2020-01-19,2020,1,3,1797,1819,-22,2015-2019 historical data
Austria,NA,weekly,2020-01-20,2020-01-26,2020,1,4,1779,1831,-52,2015-2019 historical data
Austria,NA,weekly,2020-01-27,2020-02-02,2020,2,5,1947,1837,110,2015-2019 historical data
Austria,NA,weekly,2020-02-03,2020-02-09,2020,2,6,1681,1837,-156,2015-2019 historical data
Austria,NA,weekly,2020-02-10,2020-02-16,2020,2,7,1721,1829,-108,2015-2019 historical data
Austria,NA,weekly,2020-02-17,2020-02-23,2020,2,8,1718,1812,-94,2015-2019 historical data
Austria,NA,weekly,2020-02-24,2020-03-01,2020,3,9,1768,1786,-18,2015-2019 historical data
Austria,NA,weekly,2020-03-02,2020-03-08,2020,3,10,1744,1753,-9,2015-2019 historical data
Austria,NA,weekly,2020-03-09,2020-03-15,2020,3,11,1718,1717,1,2015-2019 historical data
Austria,NA,weekly,2020-03-16,2020-03-22,2020,3,12,1836,1678,158,2015-2019 historical data
Austria,NA,weekly,2020-03-23,2020-03-29,2020,3,13,1765,1640,125,2015-2019 historical data
Austria,NA,weekly,2020-03-30,2020-04-05,2020,4,14,1828,1603,225,2015-2019 historical data
Austria,NA,weekly,2020-04-06,2020-04-12,2020,4,15,1793,1570,223,2015-2019 historical data
Austria,NA,weekly,2020-04-13,2020-04-19,2020,4,16,1704,1539,165,2015-2019 historical data
Austria,NA,weekly,2020-04-20,2020-04-26,2020,4,17,1588,1512,76,2015-2019 historical data
Austria,NA,weekly,2020-04-27,2020-05-03,2020,5,18,1480,1487,-7,2015-2019 historical data
Austria,NA,weekly,2020-05-04,2020-05-10,2020,5,19,1520,1467,53,2015-2019 historical data
Austria,NA,weekly,2020-05-11,2020-05-17,2020,5,20,1489,1450,39,2015-2019 historical data
Austria,NA,weekly,2020-05-18,2020-05-24,2020,5,21,1481,1437,44,2015-2019 historical data
Austria,NA,weekly,2020-05-25,2020-05-31,2020,5,22,1417,1430,-13,2015-2019 historical data
Austria,NA,weekly,2020-06-01,2020-06-07,2020,6,23,1490,1427,63,2015-2019 historical data
Austria,NA,weekly,2020-06-08,2020-06-14,2020,6,24,1461,1429,32,2015-2019 historical data
Austria,NA,weekly,2020-06-15,2020-06-21,2020,6,25,1413,1435,-22,2015-2019 historical data
Austria,NA,weekly,2020-06-22,2020-06-28,2020,6,26,1437,1444,-7,2015-2019 historical data
Austria,NA,weekly,2020-06-29,2020-07-05,2020,7,27,1561,1453,108,2015-2019 historical data
Austria,NA,weekly,2020-07-06,2020-07-12,2020,7,28,1383,1461,-78,2015-2019 historical data
Austria,NA,weekly,2020-07-13,2020-07-19,2020,7,29,1443,1466,-23,2015-2019 historical data
Austria,NA,weekly,2020-07-20,2020-07-26,2020,7,30,1452,1467,-15,2015-2019 historical data
Austria,NA,weekly,2020-07-27,2020-08-02,2020,8,31,1527,1465,62,2015-2019 historical data
Austria,NA,weekly,2020-08-03,2020-08-09,2020,8,32,1433,1460,-27,2015-2019 historical data
Austria,NA,weekly,2020-08-10,2020-08-16,2020,8,33,1607,1454,153,2015-2019 historical data
Austria,NA,weekly,2020-08-17,2020-08-23,2020,8,34,1477,1449,28,2015-2019 historical data
Austria,NA,weekly,2020-08-24,2020-08-30,2020,8,35,1498,1448,50,2015-2019 historical data
Austria,NA,weekly,2020-08-31,2020-09-06,2020,9,36,1522,1450,72,2015-2019 historical data
Austria,NA,weekly,2020-09-07,2020-09-13,2020,9,37,1568,1457,111,2015-2019 historical data
Austria,NA,weekly,2020-09-14,2020-09-20,2020,9,38,1569,1467,102,2015-2019 historical data
Austria,NA,weekly,2020-09-21,2020-09-27,2020,9,39,1532,1479,53,2015-2019 historical data
Austria,NA,weekly,2020-09-28,2020-10-04,2020,10,40,1584,1492,92,2015-2019 historical data
Austria,NA,weekly,2020-10-05,2020-10-11,2020,10,41,1624,1505,119,2015-2019 historical data
Austria,NA,weekly,2020-10-12,2020-10-18,2020,10,42,1618,1515,103,2015-2019 historical data
Austria,NA,weekly,2020-10-19,2020-10-25,2020,10,43,1777,1524,253,2015-2019 historical data
Austria,NA,weekly,2020-10-26,2020-11-01,2020,11,44,1895,1532,363,2015-2019 historical data
Austria,NA,weekly,2020-11-02,2020-11-08,2020,11,45,2004,1540,464,2015-2019 historical data
Austria,NA,weekly,2020-11-09,2020-11-15,2020,11,46,2283,1551,732,2015-2019 historical data
Austria,NA,weekly,2020-11-16,2020-11-22,2020,11,47,2406,1566,840,2015-2019 historical data
Austria,NA,weekly,2020-11-23,2020-11-29,2020,11,48,2425,1587,838,2015-2019 historical data
Austria,NA,weekly,2020-11-30,2020-12-06,2020,12,49,2547,1613,934,2015-2019 historical data
Austria,NA,weekly,2020-12-07,2020-12-13,2020,12,50,2486,1645,841,2015-2019 historical data
Austria,NA,weekly,2019-01-07,2019-01-13,2019,1,2,1709,NA,NA,NA
Austria,NA,weekly,2019-01-14,2019-01-20,2019,1,3,1641,NA,NA,NA
Austria,NA,weekly,2019-01-21,2019-01-27,2019,1,4,1713,NA,NA,NA
Austria,NA,weekly,2019-01-28,2019-02-03,2019,2,5,1732,NA,NA,NA
Austria,NA,weekly,2019-02-04,2019-02-10,2019,2,6,1796,NA,NA,NA
Austria,NA,weekly,2019-02-11,2019-02-17,2019,2,7,1820,NA,NA,NA
Austria,NA,weekly,2019-02-18,2019-02-24,2019,2,8,1751,NA,NA,NA
Austria,NA,weekly,2019-02-25,2019-03-03,2019,3,9,1764,NA,NA,NA
Austria,NA,weekly,2019-03-04,2019-03-10,2019,3,10,1811,NA,NA,NA
Austria,NA,weekly,2019-03-11,2019-03-17,2019,3,11,1790,NA,NA,NA
Austria,NA,weekly,2019-03-18,2019-03-24,2019,3,12,1619,NA,NA,NA
Austria,NA,weekly,2019-03-25,2019-03-31,2019,3,13,1651,NA,NA,NA
Austria,NA,weekly,2019-04-01,2019-04-07,2019,4,14,1607,NA,NA,NA
Austria,NA,weekly,2019-04-08,2019-04-14,2019,4,15,1556,NA,NA,NA
Austria,NA,weekly,2019-04-15,2019-04-21,2019,4,16,1558,NA,NA,NA
Austria,NA,weekly,2019-04-22,2019-04-28,2019,4,17,1521,NA,NA,NA
Austria,NA,weekly,2019-04-29,2019-05-05,2019,5,18,1462,NA,NA,NA
Austria,NA,weekly,2019-05-06,2019-05-12,2019,5,19,1453,NA,NA,NA
Austria,NA,weekly,2019-05-13,2019-05-19,2019,5,20,1558,NA,NA,NA
Austria,NA,weekly,2019-05-20,2019-05-26,2019,5,21,1497,NA,NA,NA
Austria,NA,weekly,2019-05-27,2019-06-02,2019,6,22,1495,NA,NA,NA
Austria,NA,weekly,2019-06-03,2019-06-09,2019,6,23,1520,NA,NA,NA
Austria,NA,weekly,2019-06-10,2019-06-16,2019,6,24,1554,NA,NA,NA
Austria,NA,weekly,2019-06-17,2019-06-23,2019,6,25,1424,NA,NA,NA
Austria,NA,weekly,2019-06-24,2019-06-30,2019,6,26,1454,NA,NA,NA
Austria,NA,weekly,2019-07-01,2019-07-07,2019,7,27,1507,NA,NA,NA
Austria,NA,weekly,2019-07-08,2019-07-14,2019,7,28,1338,NA,NA,NA
Austria,NA,weekly,2019-07-15,2019-07-21,2019,7,29,1430,NA,NA,NA
Austria,NA,weekly,2019-07-22,2019-07-28,2019,7,30,1557,NA,NA,NA
Austria,NA,weekly,2019-07-29,2019-08-04,2019,8,31,1457,NA,NA,NA
Austria,NA,weekly,2019-08-05,2019-08-11,2019,8,32,1406,NA,NA,NA
Austria,NA,weekly,2019-08-12,2019-08-18,2019,8,33,1407,NA,NA,NA
Austria,NA,weekly,2019-08-19,2019-08-25,2019,8,34,1453,NA,NA,NA
Austria,NA,weekly,2019-08-26,2019-09-01,2019,9,35,1501,NA,NA,NA
Austria,NA,weekly,2019-09-02,2019-09-08,2019,9,36,1423,NA,NA,NA
Austria,NA,weekly,2019-09-09,2019-09-15,2019,9,37,1407,NA,NA,NA
Austria,NA,weekly,2019-09-16,2019-09-22,2019,9,38,1452,NA,NA,NA
Austria,NA,weekly,2019-09-23,2019-09-29,2019,9,39,1574,NA,NA,NA
