state,state_abbr,statefips,region_name,division_name,sex_id,sex,hisp_id,hisp_label,fips,pop,white,black,amind,asian,nhopi,tom
Alabama,AL,01,South,East South Central,female,Female,hisp,Hispanic,0400000US01,102145,85914,7514,3072,843,1161,3641
Alabama,AL,01,South,East South Central,female,Female,nhisp,Not Hispanic,0400000US01,2421611,1635511,693540,13929,38044,1345,39242
Alabama,AL,01,South,East South Central,female,Female,tothisp,Total,0400000US01,2523756,1721425,701054,17001,38887,2506,42883
Alabama,AL,01,South,East South Central,male,Male,hisp,Hispanic,0400000US01,115036,96717,8113,3839,936,1488,3943
Alabama,AL,01,South,East South Central,male,Male,nhisp,Not Hispanic,0400000US01,2249079,1561813,601635,13535,33344,1213,37539
Alabama,AL,01,South,East South Central,male,Male,tothisp,Total,0400000US01,2364115,1658530,609748,17374,34280,2701,41482
Alabama,AL,01,South,East South Central,totsex,Both Sexes,hisp,Hispanic,0400000US01,217181,182631,15627,6911,1779,2649,7584
Alabama,AL,01,South,East South Central,totsex,Both Sexes,nhisp,Not Hispanic,0400000US01,4670690,3197324,1295175,27464,71388,2558,76781
Alabama,AL,01,South,East South Central,totsex,Both Sexes,tothisp,Total,0400000US01,4887871,3379955,1310802,34375,73167,5207,84365
Alaska,AK,02,West,Pacific,female,Female,hisp,Hispanic,0400000US02,25267,17741,1511,2745,547,272,2451
Alaska,AK,02,West,Pacific,female,Female,nhisp,Not Hispanic,0400000US02,327598,208817,10647,53373,25313,4785,24663
Alaska,AK,02,West,Pacific,female,Female,tothisp,Total,0400000US02,352865,226558,12158,56118,25860,5057,27114
Alaska,AK,02,West,Pacific,male,Male,hisp,Hispanic,0400000US02,28021,19727,1570,3097,679,242,2706
Alaska,AK,02,West,Pacific,male,Male,nhisp,Not Hispanic,0400000US02,356552,235594,14214,54301,22486,4922,25035
Alaska,AK,02,West,Pacific,male,Male,tothisp,Total,0400000US02,384573,255321,15784,57398,23165,5164,27741
Alaska,AK,02,West,Pacific,totsex,Both Sexes,hisp,Hispanic,0400000US02,53288,37468,3081,5842,1226,514,5157
Alaska,AK,02,West,Pacific,totsex,Both Sexes,nhisp,Not Hispanic,0400000US02,684150,444411,24861,107674,47799,9707,49698
Alaska,AK,02,West,Pacific,totsex,Both Sexes,tothisp,Total,0400000US02,737438,481879,27942,113516,49025,10221,54855
Arizona,AZ,04,West,Mountain,female,Female,hisp,Hispanic,0400000US04,1125924,1011479,25361,46723,9709,3094,29558
Arizona,AZ,04,West,Mountain,female,Female,nhisp,Not Hispanic,0400000US04,2480383,1972633,151426,146090,129917,6167,74150
Arizona,AZ,04,West,Mountain,female,Female,tothisp,Total,0400000US04,3606307,2984112,176787,192813,139626,9261,103708
Arizona,AZ,04,West,Mountain,male,Male,hisp,Hispanic,0400000US04,1140419,1023460,25044,49605,9639,3159,29512
Arizona,AZ,04,West,Mountain,male,Male,nhisp,Not Hispanic,0400000US04,2424920,1930234,162449,137742,114431,7369,72695
Arizona,AZ,04,West,Mountain,male,Male,tothisp,Total,0400000US04,3565339,2953694,187493,187347,124070,10528,102207
Arizona,AZ,04,West,Mountain,totsex,Both Sexes,hisp,Hispanic,0400000US04,2266343,2034939,50405,96328,19348,6253,59070
Arizona,AZ,04,West,Mountain,totsex,Both Sexes,nhisp,Not Hispanic,0400000US04,4905303,3902867,313875,283832,244348,13536,146845
Arizona,AZ,04,West,Mountain,totsex,Both Sexes,tothisp,Total,0400000US04,7171646,5937806,364280,380160,263696,19789,205915
Arkansas,AR,05,South,West South Central,female,Female,hisp,Hispanic,0400000US05,111332,99590,3625,3506,860,514,3237
Arkansas,AR,05,South,West South Central,female,Female,nhisp,Not Hispanic,0400000US05,1422350,1107479,243926,11653,24983,4760,29549
Arkansas,AR,05,South,West South Central,female,Female,tothisp,Total,0400000US05,1533682,1207069,247551,15159,25843,5274,32786
Arkansas,AR,05,South,West South Central,male,Male,hisp,Hispanic,0400000US05,121855,109012,4022,3808,932,663,3418
Arkansas,AR,05,South,West South Central,male,Male,nhisp,Not Hispanic,0400000US05,1358288,1069132,220714,11258,23526,4944,28714
Arkansas,AR,05,South,West South Central,male,Male,tothisp,Total,0400000US05,1480143,1178144,224736,15066,24458,5607,32132
Arkansas,AR,05,South,West South Central,totsex,Both Sexes,hisp,Hispanic,0400000US05,233187,208602,7647,7314,1792,1177,6655
Arkansas,AR,05,South,West South Central,totsex,Both Sexes,nhisp,Not Hispanic,0400000US05,2780638,2176611,464640,22911,48509,9704,58263
Arkansas,AR,05,South,West South Central,totsex,Both Sexes,tothisp,Total,0400000US05,3013825,2385213,472287,30225,50301,10881,64918
California,CA,06,West,Pacific,female,Female,hisp,Hispanic,0400000US06,7722433,6935850,169490,237738,123551,26971,228833
California,CA,06,West,Pacific,female,Female,nhisp,Not Hispanic,0400000US06,12171035,7281180,1118008,82540,3062525,73471,553311
California,CA,06,West,Pacific,female,Female,tothisp,Total,0400000US06,19893468,14217030,1287498,320278,3186076,100442,782144
California,CA,06,West,Pacific,male,Male,hisp,Hispanic,0400000US06,7817709,7027282,163236,250065,121730,27410,227986
California,CA,06,West,Pacific,male,Male,nhisp,Not Hispanic,0400000US06,11845868,7287428,1105266,80733,2755794,72020,544627
California,CA,06,West,Pacific,male,Male,tothisp,Total,0400000US06,19663577,14314710,1268502,330798,2877524,99430,772613
California,CA,06,West,Pacific,totsex,Both Sexes,hisp,Hispanic,0400000US06,15540142,13963132,332726,487803,245281,54381,456819
California,CA,06,West,Pacific,totsex,Both Sexes,nhisp,Not Hispanic,0400000US06,24016903,14568608,2223274,163273,5818319,145491,1097938
California,CA,06,West,Pacific,totsex,Both Sexes,tothisp,Total,0400000US06,39557045,28531740,2556000,651076,6063600,199872,1554757
Colorado,CO,08,West,Mountain,female,Female,hisp,Hispanic,0400000US08,605837,534566,15314,26582,4942,1616,22817
Colorado,CO,08,West,Mountain,female,Female,nhisp,Not Hispanic,0400000US08,2221859,1926746,105992,18225,101484,3670,65742
Colorado,CO,08,West,Mountain,female,Female,tothisp,Total,0400000US08,2827696,2461312,121306,44807,106426,5286,88559
Colorado,CO,08,West,Mountain,male,Male,hisp,Hispanic,0400000US08,629280,556415,15312,27924,5024,1721,22884
Colorado,CO,08,West,Mountain,male,Male,nhisp,Not Hispanic,0400000US08,2238588,1941583,123093,18389,86184,3926,65413
Colorado,CO,08,West,Mountain,male,Male,tothisp,Total,0400000US08,2867868,2497998,138405,46313,91208,5647,88297
Colorado,CO,08,West,Mountain,totsex,Both Sexes,hisp,Hispanic,0400000US08,1235117,1090981,30626,54506,9966,3337,45701
Colorado,CO,08,West,Mountain,totsex,Both Sexes,nhisp,Not Hispanic,0400000US08,4460447,3868329,229085,36614,187668,7596,131155
Colorado,CO,08,West,Mountain,totsex,Both Sexes,tothisp,Total,0400000US08,5695564,4959310,259711,91120,197634,10933,176856
Connecticut,CT,09,Northeast,New England,female,Female,hisp,Hispanic,0400000US09,296570,241985,33617,5893,2073,1146,11856
Connecticut,CT,09,Northeast,New England,female,Female,nhisp,Not Hispanic,0400000US09,1532700,1217976,190673,3815,87454,645,32137
